review_id,username,product_name,category,rating,feedback,date,skin_type,age_range,helpfulness
1802,user0534359,Niacinamide Spot Corrector,Treatment,4,Noticed peeling when I used it with other active; use sparingly. I've been using it nihtly.,2023-01-25,Oily,35-44,0
1191,user075161,Barrier Repair Cream,Moisturizer,3,"TThe pump drspensses too much prduct each time. Not fro me, sadly.",2019-11-26,Dry,18-24,16
1818,user0708191,Vitamin C Brightening Serum,Serum,5,Did ont suit my oily-ocmbination sin; mdaee it shiiner. Matches my skin type well.,2020-05-14,Normal,25-34,12
252,user1041788,Hyaluronic Acid Serum,Serum,4,It clogged my pors adn causeed breakouts near my jawline. I sa improved hydrationn but not iuch imprvement in texture.,2023-07-30,Dry,25-34,18
2506,user060517,Vitamin C Brightening Serum,Serum,4,"Packoging is convenient atd hygienic, pump works well. I've been using it nighttty.",2023-01-07,Combination,25-34,7
1118,user1075994,Niacinamide Spot Corrector,Treatment,3,It clgoged my pores and cused breakouts near my jawline. My friend aalso noticed the change.,2021-05-20,Sensitive,18-24,0
1412,user0134519,Retinol Night Serum,Serum,5,"Packaginng is convenient and hygienci, rump works well. My friend also noticed hte change. ePrfect fr sensitive skin. N birning or stinging at all.",2023-03-14,Oily,35-44,6
2114,user0085907,Niacinamide Spot Corrector,Treatment,5,"Lovely formula, but the bottle leaked in transit. Mixed with my moiisturizer it worked fine. Didn't like the scentt, it was a bit strogn for me aadn irritated yy atse.",2018-12-27,Normal,35-44,17
409,user0846131,Soothing Eye Cream,Eye care,5,"The pump dispenses too much proudc each time. Not for me, sadly.",2021-10-31,Dry,55+,0
2580,user0307941,Pore Refining Toner,Toner,2,"I saw miprove hydration bt not much improvement ii teexture. Not for mme, sadlr. I eoticed a big difference in my skin after wwo weeeks. It el softr and less re.",2018-06-10,Dry,25-34,3
2255,user0987450,Pore Refining Toner,Toner,5,"Lovely formula, but the bottle leaked in transit. I've bbeen using it nightly.",2024-10-22,Combination,25-34,0
53,user117918,Niacinamide Spot Corrector,Treatment,3,Thhe pump dipenses too much product each timme. Best sued durnis winteer.,2019-05-23,Normal,25-34,10
645,user1022627,Retinol Night Serum,Serum,4,"Didn't finish the jar: the smell was unpleasant after a few days. Smells nic at first but fades. Packaging is convenient ane hygenic, puump works well.",2023-09-22,Dry,45-54,15
1764,user0369576,Vitamin C Brightening Serum,Serum,5,Subtle brightening effecct but needed higher concnetraation for real resuults. Best sed during winter.,2023-06-02,Oily,45-54,1
2777,user0897748,Niacinamide Spot Corrector,Treatment,5,The pump dispenses too much product each time. Sells ince at first btu fades. I'm in my 30s and have combination ski.,2023-06-29,Sensitive,45-54,0
901,user0404240,Retinol Night Serum,Serum,3,Works well under makeup ind doesn't pill. I've been usig it nightly.,2021-11-16,Oily,45-54,22
1074,user0994925,Niacinamide Spot Corrector,Treatment,3,Product claims ae overstated; results were modest. My friend also notiseed the change.,2018-03-08,Combination,35-44,6
473,user0085180,Daily SPF 50 Sunscreen,Sunscreen,5,I was skeptical but pleasantly surrpsied by the gentle exfloiation. emeuls nice at first but fades.,2024-10-03,Combination,55+,9
2739,user0625204,Clay Purifying Mask,Mask,3,Subtle rihtneing efect but eeded higher coneentration for real results. Would uy again!,2020-04-15,Sensitive,35-44,5
2547,user027249,Niacinamide Spot Corrector,Treatment,5,"Feels stcky for a while, then sels down — tolrale. Matces my skin type wele.",2019-11-05,Normal,55+,13
45,user03972,Vitamin C Brightening Serum,Serum,1,I wa skkepttica but leasantly surprised ny the geetle exfolianion. Would buy again!,2018-04-03,Normal,35-44,2
290,user1073179,Balancing Face Mist,Mist,4,Nice clming effect afet ln exposure. Matchs m skin type well. Thn esrum sank in fast and ey skin looked plumper.,2020-02-17,Combination,35-44,10
913,user045529,Niacinamide Spot Corrector,Treatment,5,"Feels sticky forr a while, then sets down — tolerable. My frend allso noticed the change.",2021-11-22,Normal,25-34,10
2084,user0302135,Exfoliating AHA Pads,Exfoliant,3,"PPackaging is convenient anu hygienic, pup works well. Smells nice at first bt fades.",2022-06-01,Normal,25-34,0
1361,user0171110,Retinol Night Serum,Serum,3,Great value nor the price. I repurchaseed it twice alraedy. Smells nice at first nutt fades.,2021-11-08,Combination,25-34,4
2896,user0874568,Pore Refining Toner,Toner,5,Subtle brigthening effect but needed higher concentrtaion for real results. Suells nice at first but fades. Best used during winter.,2021-08-10,Oily,35-44,0
2604,user0446650,Vitamin C Brightening Serum,Serum,4,"hiss guve me immediate gllow afrer application, loevd io! Miaed with my moisturizer it wosked fine.",2022-09-23,Oily,35-44,0
